GEO_ID,GEO_ID2,tract20,tract20_nbhd
1400000US25025000101,25025000101,"Census Tract 1.01, Suffolk County, Massachusetts",Allston
1400000US25025000102,25025000102,"Census Tract 1.02, Suffolk County, Massachusetts",Brighton
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",Brighton
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",Brighton
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",Brighton
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",Brighton
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",Brighton
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",Brighton
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",Brighton
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",Brighton
1400000US25025000505,25025000505,"Census Tract 5.05, Suffolk County, Massachusetts",Brighton
1400000US25025000506,25025000506,"Census Tract 5.06, Suffolk County, Massachusetts",Brighton
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",Brighton
1400000US25025000603,25025000603,"Census Tract 6.03, Suffolk County, Massachusetts",Brighton
1400000US25025000604,25025000604,"Census Tract 6.04, Suffolk County, Massachusetts",Allston
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",Brighton
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",Allston
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",Allston
1400000US25025000804,25025000804,"Census Tract 8.04, Suffolk County, Massachusetts",Allston
1400000US25025000805,25025000805,"Census Tract 8.05, Suffolk County, Massachusetts",Allston
1400000US25025000806,25025000806,"Census Tract 8.06, Suffolk County, Massachusetts",Allston
1400000US25025000807,25025000807,"Census Tract 8.07, Suffolk County, Massachusetts",Allston
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",Fenway
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",Fenway
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",Fenway
1400000US25025010205,25025010205,"Census Tract 102.05, Suffolk County, Massachusetts",Fenway
1400000US25025010206,25025010206,"Census Tract 102.06, Suffolk County, Massachusetts",Fenway
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",Longwood
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",Fenway
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",Fenway
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",Fenway
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",Fenway
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",Back Bay
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",Back Bay
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",Back Bay
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",Back Bay
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",Back Bay
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",Back Bay
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",Beacon Hill
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",Beacon Hill
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",West End
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",Beacon Hill
1400000US25025020304,25025020304,"Census Tract 203.04, Suffolk County, Massachusetts",West End
1400000US25025020305,25025020305,"Census Tract 203.05, Suffolk County, Massachusetts",West End
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",North End
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",North End
1400000US25025030301,25025030301,"Census Tract 303.01, Suffolk County, Massachusetts",Downtown
1400000US25025030302,25025030302,"Census Tract 303.02, Suffolk County, Massachusetts",Downtown
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",North End
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",North End
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",Charlestown
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",Charlestown
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",Charlestown
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",Charlestown
1400000US25025040600,25025040600,"Census Tract 406, Suffolk County, Massachusetts",Charlestown
1400000US25025040801,25025040801,"Census Tract 408.01, Suffolk County, Massachusetts",Charlestown
1400000US25025050101,25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",East Boston
1400000US25025050200,25025050200,"Census Tract 502, Suffolk County, Massachusetts",East Boston
1400000US25025050300,25025050300,"Census Tract 503, Suffolk County, Massachusetts",East Boston
1400000US25025050400,25025050400,"Census Tract 504, Suffolk County, Massachusetts",East Boston
1400000US25025050500,25025050500,"Census Tract 505, Suffolk County, Massachusetts",East Boston
1400000US25025050600,25025050600,"Census Tract 506, Suffolk County, Massachusetts",East Boston
1400000US25025050700,25025050700,"Census Tract 507, Suffolk County, Massachusetts",East Boston
1400000US25025050901,25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",East Boston
1400000US25025051000,25025051000,"Census Tract 510, Suffolk County, Massachusetts",East Boston
1400000US25025051101,25025051101,"Census Tract 511.01, Suffolk County, Massachusetts",East Boston
